accuracy,balanced_accuracy,f1_macro,f1_neg,f1_pos,f2_pos,fn,fp,module,precision_neg,precision_pos,recall_neg,recall_pos,run_dir,run_id,summary_file,tn,tp
0.6278772378516624,0.6844514470495768,0.6223134597445611,0.5764728216161489,0.6681540978729733,,5758.0,935.0,rnn,0.4416755551246,0.8781441417959077,0.8296903460837887,0.5392125480153649,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru_basic,train_all_rnn_gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru_basic/train_eval_summary.json,4555.0,6738.0
0.6909262759924386,0.7379958672385364,0.6820996376866141,0.6291280272199613,0.7350712481532669,,4784.0,775.0,rnn,0.4963680387409201,0.9086838694473901,0.8588342440801457,0.617157490396927,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru,train_all_rnn_gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru/train_eval_summary.json,4715.0,7712.0
0.6809740909596352,0.6733379016440088,,0.5557448126354909,0.7511276891047883,0.7150997621564482,3837.0,1901.0,ml,0.48330191220037705,0.8199810606060606,0.6537340619307832,0.6929417413572343,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/ml,train_all_ml,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/ml/train_eval_summary.json,3589.0,8659.0
0.6711331035249639,0.6981182466549587,0.6570480276096428,0.5875461962206262,0.7265498589986593,,4638.0,1277.0,rnn,0.47599141339961587,0.860207991242474,0.7673952641165755,0.6288412291933418,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_tcn,train_all_rnn_tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_tcn/train_eval_summary.json,4213.0,7858.0
0.6573446013566107,0.6338652339604776,0.6216421409780438,0.5054169007302785,0.7378673812258092,,3822.0,2341.0,rnn,0.4517285898723282,0.7874716295960055,0.5735883424408015,0.6941421254801536,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_tiny_transformer,train_all_rnn_tiny_transformer,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_tiny_transformer/train_eval_summary.json,3149.0,8674.0
0.6830980970437469,0.5081049474431543,0.4530355022155507,,,,,,cnn,,0.6973084277099574,0.05639614855570839,0.9598137463306002,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/cnn,phase12_cnn,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/cnn/train_eval_summary.json,,
0.6116423885244079,0.5654867043792812,0.561296464973177,0.41267972757084,0.7099132023755139,,3949.0,3036.0,rnn,0.38325784788380446,0.7378917378917379,0.44699453551912566,0.6839788732394366,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_gru_basic,phase12_rnn_gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_gru_basic/train_eval_summary.json,2454.0,8547.0
0.48654509062604245,0.5420936448297334,0.48412068608599335,0.4487554467856503,0.5194859253863364,,7504.0,1731.0,rnn,0.33374766935985084,0.7425256581883088,0.6846994535519125,0.3994878361075544,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_gru,phase12_rnn_gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_gru/train_eval_summary.json,3759.0,4992.0
0.595741131991549,0.5787569909438416,,0.44694607134707537,0.6814457831325301,0.6447200437716578,4719.0,2552.0,ml,0.3837011884550085,0.7529286474973376,0.5351548269581057,0.6223591549295775,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/ml,phase12_ml,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/ml/train_eval_summary.json,2938.0,7777.0
0.6119203825197376,0.5423514905461916,0.5423644097469114,0.36395115728084565,0.720777662212977,,3487.0,3493.0,rnn,0.36415025528811085,0.7206047032474804,0.363752276867031,0.7209507042253521,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_tcn,phase12_rnn_tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_tcn/train_eval_summary.json,1997.0,9009.0
